rank,word,score,non_overlapping_word,non_overlapping_score
9428,welke,41.8934956257132,sorta,77.91441612780525
9429,exile,41.87790034233549,sorta,77.91441612780525
9430,afald,41.876378851274254,porey,83.44960060859643
9431,namaz,41.87599847850893,sored,83.68276911373147
9432,adyta,41.86991251426397,sorel,83.5127424876379
9433,thymi,41.86496766831495,soare,90.64511220996577
9434,ghusl,41.85926207683529,porae,88.55534423735261
9435,pheme,41.85241536705971,sorta,77.91441612780525
9436,iddah,41.85203499429441,sorel,83.5127424876379
9437,rishi,41.85203499429441,potae,84.18372004564473
9438,hippy,41.84975275770255,soare,90.64511220996577
9439,khaki,41.84594903004945,sored,83.68276911373147
9440,lipid,41.84480791175352,soare,90.64511220996577
9441,halal,41.83872194750856,sored,83.68276911373147
9442,lipin,41.82997337390643,soare,90.64511220996577
9443,muntu,41.82845188284519,soare,90.64511220996577
9444,exine,41.82769113731456,sorta,77.91441612780525
9445,oopsy,41.821605173069614,raile,87.0532521871434
9446,emule,41.81742107265119,sorta,77.91441612780525
9447,yecch,41.80182578927348,sorta,77.91441612780525
9448,neemb,41.79726131608976,sorta,77.91441612780525
9449,guqin,41.79269684290604,soare,90.64511220996577
9450,voulu,41.78927348801826,sared,88.85393685812096
9451,nuddy,41.78775199695701,soare,90.64511220996577
9452,kombu,41.787371624191714,sared,88.85393685812096
9453,khana,41.78014454165081,sored,83.68276911373147
9454,tizzy,41.77786230505896,soare,90.64511220996577
9455,massa,41.77634081399772,porey,83.44960060859643
9456,putti,41.76454925827311,soare,90.64511220996577
9457,hying,41.7565614302016,soare,90.64511220996577
9458,adman,41.74362875618105,sorel,83.5127424876379
9459,ogmic,41.73411943704831,sared,88.85393685812096
9460,poyou,41.73069608216051,sared,88.85393685812096
9461,zoomy,41.71434005325219,sared,88.85393685812096
9462,theek,41.71319893495625,soral,77.79954355268163
9463,gubba,41.68885507797641,sored,83.68276911373147
9464,bosom,41.686953214149874,raile,87.0532521871434
9465,quete,41.68352985926208,soral,77.79954355268163
9466,swoon,41.66717383035375,raile,87.0532521871434
9467,achoo,41.66603271205781,sired,79.04412324077596
9468,ngwee,41.65043742868011,sorta,77.91441612780525
9469,tyiyn,41.64777481932293,soare,90.64511220996577
9470,ensue,41.63332065424115,moray,76.77063522251807
9471,ataxy,41.62837580829213,sored,83.68276911373147
9472,dreed,41.62761506276151,salty,74.36059338151388
9473,dreer,41.62761506276151,salty,74.36059338151388
9474,drere,41.62761506276151,salty,74.36059338151388
9475,ortho,41.62152909851655,saine,87.3351084062381
9476,esker,41.61772537086344,laity,73.18638265500189
9477,aguna,41.61658425256751,sored,83.68276911373147
9478,cinch,41.61544313427158,soare,90.64511220996577
9479,awful,41.61278052491441,sored,83.68276911373147
9480,lynch,41.61125903385317,soare,90.64511220996577
9481,stook,41.60707493343477,raile,87.0532521871434
